1,	Manchester United,	Football,	 England,	1.86, 135, FA Charity/Community Shield, , , 1, 1.83, 2, 20
2,	Dallas Cowboys,	American football,	 United States,	1.81, 53, , , , 0, 1.65, 0, 5
3,	New York Yankees,	Baseball,	 United States,	1.7, 112, East Division Title, , , 1, 1.6, 0, 27
4,	Washington Redskins,	American football,	 United States,	1.55, 81, , , , 0, 1.55, 0, 3
5,	Real Madrid,	Football,	 Spain,	1.45, 111, Copa del Rey, , , 1, 1.32, 0, 32
6,	New England Patriots,	American football,	 United States,	1.37, 54, AFC East; AFC, , , 2, 1.36, 1, 3
7,	Arsenal,	Football,	 England,	1.19, 127, , , ,0, 1.18, 0, 13
8,	New York Giants,	American football,	 United States,	1.18, 88, Super Bowl Championship; NFC; NFC East, , , 3, 1.18, 0, 2
9,	Houston Texans,	American football,	 United States,	1.17, 11, 1.15, AFC South, , , 1, , 0, 0
10,	New York Jets,	American football,	 United States,	1.14, 52, , , , 0, 1,17, 0, 1
11, Philadelphia Eagles, American football, United States, 1.12, 82, , , , 0, 1.12, 1, 0
12, Baltimore Ravens, American football, United States, 1.07, 17, AFC North, , , 1, 1.08, 0, 2
13, Scuderia Ferrari, Motorsports, Italy, 1.07, 63, , , , 0,  1.05, 0, 16
14, Chigago Bears, American football, United States, 1.07, 94, , , , 0, 1.08, 1, 1
15, Denver Broncos, American football, United States, 1.05, 48, AFC West, , , 1, 1.08, 0, 8
16, Indianapolis Colts, American football, United States, 1.04, 60, , , , 0, 1.03, 1, 2
17, Carolina Panthers, American football, United States, 1.04, 20, , , , 0, 1.05, 0, 0
18, Tampa Bay Buccaneers, American football, United States, 1.03, 37, , , , 0, 1.09, 0, 1
19, Bayern Munich, Football, Germany, 1.03, 113, , , , 0, , 1, 23
20, Green Bay Packers, American football, United States, 1.02, 94, NFC North, , , 1, 1.01, 2, 4
