1,	Real Madrid,	Football,	 Spain,	3.3, 111, Copa del Rey, UEFA Champions League, , 2, 2.23, 1, 32
2,	Manchester United,	Football,	 England,	3.165, 135, FA Charity/Community Shield, , , 1, 2.23,1, 20
3,	Barcelona,	Football,	 Spain,	2.6, 114, Supercopa de Espana, , , 1, 1.31, 0, 22
4,	New York Yankees,	Baseball,	 United States,	2.3, 112, , , , 0, 1.85, 1,27
5,	Dallas Cowboys,	American football,	 United States,	2.1, 53, , , , 0,1.85, 0, 5
6,	New England Patriots,	American football,	 United States,	1.635, 54, AFC East, , , 1, 1.4, 1, 3
7,	Los Angeles Dodgers,	Baseball,	 United States,	1.615, 130, West Division Title, , , 1, 1.4, 0, 6
8,	Washington Redskins,	American football,	 United States,	1.6, 81, , , , 0, 1.56, 1, 3
9,	New York Giants,	American football,	 United States,	1.468, 88, , , , 0, 1.3, 0, 4
10,	Arsenal,	Football,	 England,	1.326, 127, , FA Cup, , 1, 1,29, 0, 13
11, Boston Red Sox, Baseball, United States, 1.312, 112, East Division Title; AL Pennants, , World Series Title, 3, 1.0, 0, 7
12, Bayern Munich, Football, Germany, 1.309, 113, Bundesliga; DFB-Pokal, UEFA Super Cup, FIFA Club World Cup, 4, 1.23, 4, 23
13, Houston Texans, American football, United States, 1.305, 11, , , , 0, 1.2, 1, 0
14, New York Jets, American football, United States, 1.284, 52, , , , 0, 1.23, 0, 1
15, Philadelphia Eagles, American football, United States, 1.26, 82, NFC East, , ,1, 1.16, 0, 0
16, Chigago Bears, American football, Unites States, 1.19, 94, , , , 0, 1.16, 0, 1
17, San Fransisco 49ers, American football, United States, 1.175, 67, , , , 0, 1.224, 2, 5
18, Green Bay Packers, American football, United States, 1.161, 94, NFC North, , , 1, 1.09, 1, 4
19, Baltimore Ravens, American football, United States, 1.157, 17, , , , 0, 1.09, 3, 2
20, Indianapolis Colts, American football, United States, 1.154, 60, AFC South, , , 1, 1.06, 0, 2

